cccm_site_id,site_name,alternative_names,region,district,catchment,latitude,longitude,households,individuals,record_status
CCCM-SO2302-0001,Awgeedi,,Lower Shabelle,Afgooye,,2.0910055,45.1680952,190,1140,
CCCM-SO2302-0002,Ayaanle,,Lower Shabelle,Afgooye,,2.1559869,45.1183951,154,924,
CCCM-SO2302-0004,Badqawe,,Lower Shabelle,Afgooye,,2.08656,45.201601,200,1080,
CCCM-SO2302-0007,Beesaani,,Lower Shabelle,Afgooye,,2.1098194,45.1546211,149,894,
CCCM-SO2302-0073,Beylood,,Lower Shabelle,Afgooye,,2.077301,45.217151,118,708,
CCCM-SO2302-0009,Biyooley,,Lower Shabelle,Afgooye,,2.078344,45.217859,170,1020,
CCCM-SO2302-0058,Buundo 3,,Lower Shabelle,Afgooye,,2.08656,45.201601,360,2160,
CCCM-SO2302-0011,Caadii,,Lower Shabelle,Afgooye,,2.077485,45.217162,80,480,
CCCM-SO2302-0012,Ceeryaamo,,Lower Shabelle,Afgooye,,2.087625,45.203268,137,822,
CCCM-SO2302-0061,Dhag Wariiri,,Lower Shabelle,Afgooye,,2.0915367,45.17649,110,660,
CCCM-SO2302-0013,Dheen,,Lower Shabelle,Afgooye,,2.145,45.119325,152,912,
CCCM-SO2302-0015,Dhuumodle,,Lower Shabelle,Afgooye,,2.08656,45.201601,110,660,
CCCM-SO2302-0078,Doxa 2,,Lower Shabelle,Afgooye,,2.08656,45.201601,350,2100,
CCCM-SO2302-0030,Eylo 1,,Lower Shabelle,Afgooye,,2.078576,45.217515,85,510,
CCCM-SO2302-0022,Fariid,,Lower Shabelle,Afgooye,,2.1107947,45.1550635,188,1128,
CCCM-SO2302-0023,Fulay Ley,,Lower Shabelle,Afgooye,,2.1115636,45.1542478,170,1020,
CCCM-SO2302-0032,Golweyn Ceelisha,,Lower Shabelle,Afgooye,,2.08656,45.201601,50,300,
CCCM-SO2302-0080,Gosha Iyo Gindiga,,Lower Shabelle,Afgooye,,2.08656,45.201601,190,1140,
CCCM-SO2302-0027,Intifaac,,Lower Shabelle,Afgooye,,2.085258,45.201622,193,1158,
CCCM-SO2302-0066,Janaale (Afgoye),,Lower Shabelle,Afgooye,,2.0910031,45.1773966,80,480,
CCCM-SO2302-0067,Jeebeey,,Lower Shabelle,Afgooye,,2.08656,45.201601,82,492,
CCCM-SO2302-0028,Jiidane,,Lower Shabelle,Afgooye,,2.1069877,45.1646376,65,390,
CCCM-SO2302-0038,Kuusow,,Lower Shabelle,Afgooye,,2.08656,45.201601,210,1260,
CCCM-SO2302-0034,Qalbi Saliin,,Lower Shabelle,Afgooye,,2.1125685,45.1537766,130,780,
CCCM-SO2302-0043,Qodqodow,,Lower Shabelle,Afgooye,,2.153933,45.1194211,265,1590,
CCCM-SO2302-0035,Qoraar,,Lower Shabelle,Afgooye,,2.155809,45.1181721,105,630,
CCCM-SO2302-0039,Xafiid,,Lower Shabelle,Afgooye,,2.07724,45.217649,225,1350,
CCCM-SO2802-0025,Abaq,,Lower Juba,Afmadow,,0.523129,42.093184,320,1920,
CCCM-SO2802-0026,Airport,,Lower Juba,Afmadow,,0.5233591,42.0942814,361,2166,
CCCM-SO2802-0018,Arbow,,Lower Juba,Afmadow,,0.4177955,41.02312,300,1800,
CCCM-SO2802-0009,Awaqbanboow,,Lower Juba,Afmadow,,0.5220575,42.0810868,487,2922,
CCCM-SO2802-0027,Bari,,Lower Juba,Afmadow,,0.5213528,42.0960293,1365,8190,
CCCM-SO2802-0038,Barwaqo,,Lower Juba,Afmadow,,0.4203052,41.002922,265,1590,
CCCM-SO2802-0028,Bilisaa,,Lower Juba,Afmadow,,0.5257476,42.0904938,550,3300,
CCCM-SO2802-0029,Buale,,Lower Juba,Afmadow,,0.5209517,42.0814317,86,516,
CCCM-SO2802-0003,Bulada Dirisamaha,,Lower Juba,Afmadow,,0.5306506,42.0866486,320,1920,
CCCM-SO2802-0004,Cameroon,,Lower Juba,Afmadow,,0.5266462,42.0817547,560,3360,
CCCM-SO2802-0019,Comp Qorax,,Lower Juba,Afmadow,,0.4237575,41.0135175,705,4230,
CCCM-SO2802-0020,Danwadaag,,Lower Juba,Afmadow,,0.3961736,41.0029433,3921,23526,
CCCM-SO2802-0039,Daryel,,Lower Juba,Afmadow,,0.3982267,41.0233217,595,3570,
CCCM-SO2802-0046,Garasgacanlow,,Lower Juba,Afmadow,,0.5102603,42.0568739,372,2232,
CCCM-SO2802-0033,Hagar,,Lower Juba,Afmadow,,0.3973216,41.012756,755,4530,
CCCM-SO2802-0034,Hawina,,Lower Juba,Afmadow,,0.3893364,41.0135866,400,2400,
CCCM-SO2802-0040,Hiraan,,Lower Juba,Afmadow,,0.521235,42.0940083,367,2206,
CCCM-SO2802-0035,Hodan,,Lower Juba,Afmadow,,0.4181653,40.9979822,820,4920,
CCCM-SO2802-0041,Jimo,,Lower Juba,Afmadow,,0.4081552,41.02565,690,4140,
CCCM-SO2802-0047,Jirole,,Lower Juba,Afmadow,,0.3960813,41.0146803,458,2748,
CCCM-SO2802-0042,Kaafi,,Lower Juba,Afmadow,,0.416837,41.010853,275,1650,
CCCM-SO2802-0030,Kaxda Nabada,,Lower Juba,Afmadow,,0.5208069,42.0805535,96,576,
CCCM-SO2802-0023,Mowlid Laqay,,Lower Juba,Afmadow,,0.4061407,41.0276586,510,3060,
CCCM-SO2802-0043,Othogoye,,Lower Juba,Afmadow,,0.5147031,42.081915,220,1320,
CCCM-SO2802-0048,Qaliwile,,Lower Juba,Afmadow,,0.5219217,42.0833174,292,1752,
CCCM-SO2802-0044,Sakow,,Lower Juba,Afmadow,,0.520796,42.0919718,260,1560,
CCCM-SO2802-0031,Soya,,Lower Juba,Afmadow,,0.5211807,42.0933482,478,2868,
CCCM-SO2802-0045,Tawakal,,Lower Juba,Afmadow,,0.3945666,41.0062152,791,4746,
CCCM-SO2802-0037,Wadajir,,Lower Juba,Afmadow,,0.5102095,41.013237,2349,14094,
CCCM-SO2802-0032,Yaaq,,Lower Juba,Afmadow,,0.5247142,42.087114,368,2208,
CCCM-SO2602-0004,Al Aamin,,Gedo,Baardheere,,2.3584129,42.2692215,500,3000,
CCCM-SO2602-0005,Albaraka,,Gedo,Baardheere,,2.3525469,42.3020263,190,1140,
CCCM-SO2602-0113,Baaleey,,Gedo,Baardheere,,2.3260234,42.2948406,70,420,
CCCM-SO2602-0100,Badbaado,,Gedo,Baardheere,,2.3540704,42.27786,430,2580,
CCCM-SO2602-0101,Bakal,,Gedo,Baardheere,,2.3521424,42.266378,430,2580,
CCCM-SO2602-0132,Bandar,,Gedo,Baardheere,,2.31268,42.2767284,68,408,
CCCM-SO2602-0027,Barkulan,,Gedo,Baardheere,,2.3552964,42.2735498,148,888,
CCCM-SO2602-0114,Barwaaqo,,Gedo,Baardheere,,2.3213187,42.2733856,65,390,
CCCM-SO2602-0149,Biroole,,Gedo,Baardheere,,2.3697443,42.2779563,178,1068,
CCCM-SO2602-0006,Bula Esan Centre,,Gedo,Baardheere,,2.3562828,42.286579,201,1206,
CCCM-SO2602-0008,Bulo Geedi,,Gedo,Baardheere,,2.3201208,42.2771137,100,600,
CCCM-SO2602-0148,Camp Arfaad,,Gedo,Baardheere,,2.3482462,42.2970662,55,330,
CCCM-SO2602-0102,Central,,Gedo,Baardheere,,2.3375093,42.2721199,150,900,
CCCM-SO2602-0138,Daaru Salam,,Gedo,Baardheere,,2.3486668,42.2649157,280,1680,
CCCM-SO2602-0103,Danyar,,Gedo,Baardheere,,2.3088275,42.2826637,50,300,
CCCM-SO2602-0117,Dulmidiid,,Gedo,Baardheere,,2.33633,42.2995659,90,180,
CCCM-SO2602-0104,Fulayley,,Gedo,Baardheere,,2.3249322,42.2910983,200,400,
CCCM-SO2602-0013,Gadude,,Gedo,Baardheere,,2.3468011,42.3005415,317,1902,
CCCM-SO2602-0151,Galbed,,Gedo,Baardheere,,2.3540986,42.3009562,50,300,
CCCM-SO2602-0014,Garasley,,Gedo,Baardheere,,2.3279373,42.2933121,300,1800,
CCCM-SO2602-0118,Gargaar,,Gedo,Baardheere,,2.3508101,42.2956853,108,648,
CCCM-SO2602-0015,Guled,,Gedo,Baardheere,,2.3214709,42.2881052,110,660,
CCCM-SO2602-0135,Guul Wade,,Gedo,Baardheere,,2.3454627,42.2665138,345,1884,
CCCM-SO2602-0003,Habaal Adey,,Gedo,Baardheere,,2.3319924,42.3000076,1400,8400,
CCCM-SO2602-0119,Hayan,,Gedo,Baardheere,,2.3288767,42.2944959,120,720,
CCCM-SO2602-0136,Hogal,,Gedo,Baardheere,,2.3330932,42.2935202,70,420,
CCCM-SO2602-0017,Horseed,,Gedo,Baardheere,,2.3399755,42.2722363,370,2220,
CCCM-SO2602-0121,Horyaal,,Gedo,Baardheere,,2.3502554,42.298448,53,318,
CCCM-SO2602-0024,Iftin,,Gedo,Baardheere,,2.347768,42.3070327,2672,16032,
CCCM-SO2602-0105,Ileys,,Gedo,Baardheere,,2.3210678,42.2751022,60,360,
CCCM-SO2602-0147,Iljini,,Gedo,Baardheere,,2.3468941,42.2967977,54,324,
CCCM-SO2602-0123,Jameca,,Gedo,Baardheere,,2.3527312,42.3051819,52,312,
CCCM-SO2602-0002,Jirih,,Gedo,Baardheere,,2.3591359,42.2760024,373,2238,
CCCM-SO2602-0106,Juba,,Gedo,Baardheere,,2.3208957,42.2758018,100,600,
CCCM-SO2602-0124,Juba Baraawa,,Gedo,Baardheere,,2.3155949,42.2741323,100,600,
CCCM-SO2602-0125,Kastuumis,,Gedo,Baardheere,,2.3497176,42.2991319,55,330,
CCCM-SO2602-0018,Kaydsaney,,Gedo,Baardheere,,2.323092,42.2836621,70,420,
CCCM-SO2602-0108,Kulan,,Gedo,Baardheere,,2.3284401,42.2963508,400,2400,
CCCM-SO2602-0019,Kulimye Centre,,Gedo,Baardheere,,2.3260939,42.2981932,150,900,
CCCM-SO2602-0150,Labiiley,,Gedo,Baardheere,,2.3234198,42.276497,100,600,
CCCM-SO2602-0020,Liban,,Gedo,Baardheere,,2.3249421,42.2890607,300,600,
CCCM-SO2602-0035,Madina,,Gedo,Baardheere,,2.3441632,42.2706439,380,2280,
CCCM-SO2602-0021,Man Deeq,,Gedo,Baardheere,,2.3601225,42.2731368,684,4104,
CCCM-SO2602-0110,Muruqmaal,,Gedo,Baardheere,,2.3080911,42.2800455,85,510,
CCCM-SO2602-0111,Najax,,Gedo,Baardheere,,2.3439476,42.2665611,380,2280,
CCCM-SO2602-0137,Nashad,,Gedo,Baardheere,,2.3235891,42.2894209,100,200,
CCCM-SO2602-0134,Bulsho,,Gedo,Baardheere,,2.3445316,42.3040999,216,1296,
CCCM-SO2602-0010,Returnees,,Gedo,Baardheere,,2.3161923,42.2802697,60,360,
CCCM-SO2602-0128,Shabeel,,Gedo,Baardheere,,2.3436315,42.301153,130,780,
CCCM-SO2602-0022,Tawakal,,Gedo,Baardheere,,2.3558475,42.2733149,97,582,
CCCM-SO2602-0023,Towfiq,,Gedo,Baardheere,,2.3682168,42.2772806,95,570,
CCCM-SO2602-0129,Tuwerey,,Gedo,Baardheere,,2.3441834,42.3027136,85,510,
CCCM-SO2602-0011,Waabari,,Gedo,Baardheere,,2.3553969,42.2962096,96,576,
CCCM-SO2602-0130,Wardher,,Gedo,Baardheere,,2.3347213,42.2944901,90,540,
CCCM-SO2602-0112,Warsan,,Gedo,Baardheere,,2.3134717,42.2776083,116,696,
CCCM-SO2602-0139,Yamaarugley,,Gedo,Baardheere,,2.3614605,42.2864471,117,702,
CCCM-SO2401-0001,11-Janaay-1,,Bay,Baidoa,Baidoa · CA04,3.0929506,43.6349327,182,587,
CCCM-SO2401-0002,11-Janaay-2,,Bay,Baidoa,Baidoa · CA02,3.0918301,43.6230441,135,810,
CCCM-SO2401-0708,9 Mundul,,Bay,Baidoa,Baidoa · CA07,3.144875,43.6301948,149,733,
CCCM-SO2401-0911,Aamanow,,Bay,Baidoa,Baidoa · CA01,3.0848389,43.6234557,56,214,
CCCM-SO2401-0944,Aamin Baale,,Bay,Baidoa,Baidoa · CA17,3.10185125,43.65753561,12,42,
CCCM-SO2401-0813,Aanoley,,Bay,Baidoa,Baidoa · CA02,3.0882153,43.6248578,168,1008,
CCCM-SO2401-0878,Aashow,,Bay,Baidoa,Baidoa · CA13,3.141616766666667,43.66740037878787,33,93,
CCCM-SO2401-0644,Aawjiko,,Bay,Baidoa,Baidoa · CA01,3.0845633,43.62958,72,289,
CCCM-SO2401-0011,Abag Bedey,,Bay,Baidoa,Baidoa · CA01,3.07357228,43.61548894,105,379,
